env,dbp,etp,rh,sihs,svpc,tmax,tmean,tmin,trange,vpd,prec,GY,WAASB,me
DZ2019,-4.68181837182143,8.50735408608036,58.5044642857143,18.3832142857143,0.214015860455357,33.4178571428572,26.9892857142857,21,12.4178571428571,1.92150214620536,428.46,8.59538461538462,0.394091121406609,ME1
DZ2020,-3.59061592140708,8.00981946123009,68.2730973451328,17.431592920354,0.200366032353982,31.5533628318584,25.7903539823009,20.3953982300885,11.1579646017699,1.38433314568142,499.37,11.3991025641026,0.564210277056783,ME3
GC2019,-5.3708179532087,8.29612230107826,56.6106956521739,17.932,0.21323527793913,33.344347826087,26.6012173913044,20.718,12.626347826087,2.02047621273913,336.41,9.54717948717949,0.215531451530585,ME1
GC2020,-2.99018543882759,7.50975440421552,69.0053448275862,16.4978448275862,0.186583109603448,29.9093965517241,24.1287931034483,18.8181896551724,11.0912068965517,1.24622925512069,524.27,11.5702564102564,0.629621345311004,ME3
HD2019,-5.59197768197368,8.39417066442982,54.0145614035088,18.085701754386,0.218956741508772,33.5519298245614,27.3378070175439,21.7368421052632,11.8150877192982,2.12664084450877,319.45,9.44358974358974,0.770239696882725,ME1
HD2020,-3.46290888492982,7.94150537617544,65.4794736842105,17.2683333333333,0.201057611596491,31.3888596491228,25.780701754386,20.700350877193,10.6885087719298,1.47585883110526,510.56,11.4753846153846,1.22046034585511,ME3
JN2019,-3.76292028713393,8.40827742992857,62.9191964285714,18.2745535714286,0.203509957446429,31.8699107142857,26.018125,20.4794642857143,11.3904464285714,1.619365136375,520.28,8.54884615384616,0.585788857160382,ME1
JN2020,-2.26173214637838,7.86722764207207,74.5344144144144,17.2398198198198,0.188613119486487,29.8840540540541,24.7040540540541,19.7912612612613,10.0927927927928,1.02577505325225,622.21,9.07910256410256,0.759058604383819,ME3
JS2019,-5.21953728321239,8.65281161936283,64.1057522123894,18.5951327433628,0.225047836336283,34.0479646017699,27.9953097345133,22.5316814159292,11.5162831858407,1.74705121129204,387.96,12.5032051282051,0.22331165248429,ME1
JS2020,0.744347014807017,7.30451263431579,79.6371052631579,15.8387719298246,0.203852745649123,30.6533333333333,26.2445614035088,22.0513157894737,8.60201754385965,0.882738288263158,917.57,9.93897435897436,0.576572144792212,ME2
LZ2019,-6.12997543409565,8.5933667384087,64.9401739130435,18.707652173913,0.201394964747826,31.8992173913044,25.5701739130435,20.2391304347826,11.6600869565217,1.55792910973913,283.29,10.2571794871795,0.251476729436881,ME1
LZ2020,-1.55175975646552,8.01848389443103,77.9304310344828,17.6113793103448,0.184071545275862,29.0825862068966,24.1227586206897,19.6854310344828,9.39715517241379,0.886208644741379,750.14,11.2192307692308,0.184180203163642,ME2
NY2019,-5.22362586899074,8.809274017,63.9786111111111,18.924537037037,0.226446702435185,34.2367592592593,28.1687037037037,22.6096296296296,11.6271296296296,1.76030467417593,387.25,9.03538461538461,1.10269117021612,ME1
NY2020,0.878840921141509,7.50078172033019,79.4333962264151,16.2318867924528,0.207954275773585,31.0845283018868,26.7033018867925,22.4543396226415,8.63018867924528,0.910843718886792,888.24,8.05910256410257,0.978437027657301,ME2
SX2019,-4.52922754272321,8.75351325700893,68.3369642857143,18.9394642857143,0.211772574321429,32.6819642857143,26.7780357142857,21.5049107142857,11.1770535714286,1.46031528855357,473.12,9.92807692307692,0.687715473481629,ME1
SX2020,-0.228513054912281,7.49228498526316,79.1729824561404,16.2928947368421,0.199442608035088,30.5628947368421,25.7497368421053,21.2699122807018,9.29298245614035,0.907778249605263,828.07,10.5474358974359,0.378106598539401,ME2
SZ2019,-5.49124507051724,8.34443472561207,56.3256034482759,18.0168103448276,0.215295103396552,33.7006896551724,27.0262931034483,20.9306034482759,12.7700862068966,2.03810946133621,330.97,10.3464102564103,0.528693009164647,ME1
SZ2020,-3.27476372032174,7.69589415521739,68.6527826086957,16.8169565217391,0.192883550930435,30.6333913043478,24.939652173913,19.5918260869565,11.0415652173913,1.31114656601739,508.43,9.79782051282051,0.357345622245575,ME3
YC2019,-4.69486916203604,7.60937366661261,66.7728828828829,16.392972972973,0.215235123162162,33.4872072072072,26.8969369369369,21.240990990991,12.2462162162162,1.6564049892973,323.51,12.0058974358974,0.709936741066152,ME1
YC2020,1.29870186442727,7.07529813567273,83.5877272727273,15.4112727272727,0.193406993463636,29.6481818181818,24.9468181818182,21.0003636363636,8.64781818181818,0.756533312663636,921.14,10.7866666666667,0.198581755265367,ME2
