data,variable,ae,np
2021-01-29,prec,2.2,5.74
2021-01-30,tmed,23.55,24.64
2021-01-30,ur,83.6363636363637,87.81
2021-01-30,tmin,19.2,21.69
2021-01-30,tmax,28.7,28.39
2021-01-30,prec,4,4.93
2021-01-31,tmed,20.8478260869565,23.32
2021-01-31,ur,90.2608695652174,91.44
2021-01-31,tmin,19,21.06
2021-01-31,tmax,26.2,26.3
2021-01-31,prec,36.4,21.19
2021-02-01,tmed,22.0333333333333,24.31
2021-02-01,ur,84.3333333333333,83.62
2021-02-01,tmin,18.9,20.22
2021-02-01,tmax,27.2,28.97
2021-02-01,prec,0.4,1.3
2021-02-02,tmed,23.2833333333333,24.14
2021-02-02,ur,85.5,89.12
2021-02-02,tmin,20.4,21.21
2021-02-02,tmax,25.9,27.01
2021-02-02,prec,0,0.15
2021-02-03,tmed,24.775,25.34
2021-02-03,ur,82.5833333333333,88
2021-02-03,tmin,21.6,21.84
2021-02-03,tmax,29.1,29.67
2021-02-03,prec,0,0.63
2021-02-04,tmed,21.9681818181818,22.72
2021-02-04,ur,85.7727272727273,81.38
2021-02-04,tmin,18.5,17.58
2021-02-04,tmax,26,26.69
2021-02-04,prec,22,4.05
2021-02-05,tmed,19.7791666666667,20.33
2021-02-05,ur,74.9583333333333,74.06
2021-02-05,tmin,15.5,15.64
2021-02-05,tmax,24.7,26
2021-02-05,prec,0,0.41
2021-02-06,tmed,18.7391304347826,19.51
2021-02-06,ur,71.7826086956522,74.5
2021-02-06,tmin,13.5,13.3
2021-02-06,tmax,25.2,26.15
2021-02-06,prec,0,0.78
2021-02-07,tmed,21.2958333333333,21.99
2021-02-07,ur,66.7916666666667,70
2021-02-07,tmin,15.8,14.35
2021-02-07,tmax,28.4,29.33
2021-02-07,prec,0,0.04
2021-02-08,tmed,23.1458333333333,23.37
2021-02-08,ur,60.7083333333333,65.38
2021-02-08,tmin,18,16.34
2021-02-08,tmax,30.3,30.52
2021-02-08,prec,0,0.01
2021-02-09,tmed,23.225,23.65
2021-02-09,ur,67.8333333333333,69.12
2021-02-09,tmin,19.5,17.37
2021-02-09,tmax,28.7,29.57
2021-02-09,prec,0,1.17
2021-02-10,tmed,21.4916666666667,22.15
2021-02-10,ur,71.7916666666667,72.5
2021-02-10,tmin,15.8,18.48
2021-02-10,tmax,28.4,26.66
2021-02-10,prec,0.4,0.36
2021-02-11,tmed,19.9666666666667,21.77
2021-02-11,ur,83.3333333333333,75.38
2021-02-11,tmin,18.3,17.19
2021-02-11,tmax,24.7,27.77
2021-02-11,prec,21.2,7.91
2021-02-12,tmed,20.5416666666667,23.05
2021-02-12,ur,89.6666666666667,78.62
2021-02-12,tmin,17.9,18.62
2021-02-12,tmax,24,27.76
2021-02-12,prec,4.6,7.9
2021-02-13,tmed,21.2375,23.04
2021-02-13,ur,80.75,80
2021-02-13,tmin,17.1,19.46
2021-02-13,tmax,27.3,27.23
2021-02-13,prec,0.2,2.21
2021-02-14,tmed,21.9083333333333,23.69
2021-02-14,ur,83.25,75.56
2021-02-14,tmin,19.3,19.66
2021-02-14,tmax,27,28.52
2021-02-14,prec,0,3.32
2021-02-15,tmed,20.1291666666667,23.05
2021-02-15,ur,89.7083333333333,77.94
2021-02-15,tmin,16.6,17
2021-02-15,tmax,24.3,28.49
2021-02-15,prec,5.8,7.28
2021-02-16,tmed,21.0833333333333,22.8
2021-02-16,ur,83.8333333333333,76.94
2021-02-16,tmin,16.7,18
2021-02-16,tmax,26.8,28.7
2021-02-16,prec,0,2.66
2021-02-17,tmed,21.1166666666667,21.56
2021-02-17,ur,73.2916666666667,68.12
2021-02-17,tmin,15.6,16.15
2021-02-17,tmax,26.7,28.52
2021-02-17,prec,0,0.1
2021-02-18,tmed,19.1375,21.29
2021-02-18,ur,73.7916666666667,62
2021-02-18,tmin,11.9,15.31
2021-02-18,tmax,25.8,28.46
2021-02-18,prec,0,0.07
2021-02-19,tmed,20.6958333333333,22.53
2021-02-19,ur,74.8333333333333,69.69
2021-02-19,tmin,15.7,15.45
2021-02-19,tmax,27.1,29.77
2021-02-19,prec,0,0.03
2021-02-20,tmed,22.6291666666667,23.93
2021-02-20,ur,67.25,62.44
2021-02-20,tmin,17.2,16.43
2021-02-20,tmax,29.1,31.81
2021-02-20,prec,0,0.01
2021-02-21,tmed,24.4208333333333,26.15
2021-02-21,ur,62.5,58.31
2021-02-21,tmin,18.9,17.82
2021-02-21,tmax,31.4,34.69
2021-02-21,prec,0,0
2021-02-22,tmed,25.5666666666667,28.58
2021-02-22,ur,67.3333333333333,55.31
2021-02-22,tmin,21.7,20.33
2021-02-22,tmax,31.8,35.44
2021-02-22,prec,0,0.17
2021-02-23,tmed,24.9708333333333,28.53
2021-02-23,ur,77.5,61.31
2021-02-23,tmin,20.4,23.07
2021-02-23,tmax,33,35.31
2021-02-23,prec,8.6,3.13
2021-02-24,tmed,22.7291666666667,26.91
2021-02-24,ur,80.125,64.38
2021-02-24,tmin,18.9,22.04
2021-02-24,tmax,28.9,33.78
2021-02-24,prec,1.2,2.58
2021-02-25,tmed,23.6208333333333,26.19
2021-02-25,ur,72.2083333333333,58.88
2021-02-25,tmin,18.7,18.74
2021-02-25,tmax,28.9,34.39
2021-02-25,prec,0,0.06
2021-02-26,tmed,24.1416666666667,26.43
2021-02-26,ur,68.4583333333333,58.62
2021-02-26,tmin,19.3,19.69
2021-02-26,tmax,29.7,33.9
2021-02-26,prec,0,1.19
2021-02-27,tmed,24.3541666666667,26.3
2021-02-27,ur,66.5416666666667,58.56
2021-02-27,tmin,19.5,18.98
2021-02-27,tmax,30.1,34.15
2021-02-27,prec,0,0.74
2021-02-28,tmed,23.5791666666667,25.34
2021-02-28,ur,66.75,63.5
2021-02-28,tmin,18.4,17.56
2021-02-28,tmax,29.6,33.63
2021-02-28,prec,0,1.11
2021-03-01,tmed,24.3083333333333,25.28
2021-03-01,ur,72.0416666666667,71.75
2021-03-01,tmin,19.6,19.9
2021-03-01,tmax,30.4,30.48
